iter	RMSE
0	13.38139023
1	12.05933521
2	11.04651833
3	10.1003987
4	9.409429126
5	8.724666139
6	8.228264684
7	7.858424739
8	7.481710225
9	7.183897627
10	6.977810542
11	6.758847297
12	6.56114847
13	6.438057454
14	6.292017057
15	6.197419201
16	6.132462611
17	6.038982506
18	5.968947111
19	5.899014423
20	5.852024943
21	5.799690506
22	5.794953546
23	5.759852577
24	5.741489361
25	5.715390944
26	5.682719697
27	5.6479841
28	5.608323409
29	5.597594193
30	5.574646768
31	5.555850633
32	5.519783808
33	5.501856108
34	5.482220608
35	5.47269993
36	5.460953282
37	5.454542741
38	5.450282057
39	5.440078468
40	5.432918979
41	5.425895882
42	5.420613915
43	5.419721319
44	5.418921221
45	5.398833771
46	5.390949539
47	5.380562934
48	5.376470012
49	5.375844904
50	5.375271196
51	5.360919222
52	5.360118914
53	5.338104376
54	5.334277735
55	5.316941932
56	5.304718839
57	5.293768306
58	5.293104943
59	5.292496542
60	5.283798047
61	5.271340935
62	5.251638033
63	5.249116211
64	5.248589495
65	5.23872129
66	5.238277797
67	5.237814413
68	5.237363186
69	5.236941397
70	5.235565342
71	5.235207113
72	5.234892399
73	5.226516773
74	5.225331118
75	5.213951416
76	5.204043935
77	5.188548475
78	5.179045665
79	5.178759601
80	5.178543417
81	5.178260299
82	5.173511046
83	5.169431204
84	5.167731503
85	5.153480921
86	5.149273889
87	5.142182839
88	5.13219623
89	5.122376944
90	5.114075586
91	5.111373069
92	5.106072038
93	5.10592858
94	5.105732004
95	5.105376795
96	5.098233308
97	5.098057785
98	5.093190027
99	5.081933301
