iter	Passed	Remaining
0	57	57260
1	57	28726
2	57	19206
3	58	14445
4	58	11588
5	58	9682
6	58	8322
7	58	7301
8	59	6506
9	59	5871
10	59	5351
11	59	4919
12	59	4552
13	60	4239
14	60	3967
15	60	3728
16	60	3517
17	61	3330
18	61	3162
19	61	3012
20	61	2877
21	61	2754
22	62	2644
23	62	2541
24	62	2445
25	62	2357
26	63	2276
27	63	2199
28	63	2130
29	63	2063
30	64	2001
31	64	1943
32	64	1887
33	64	1837
34	64	1788
35	65	1742
36	65	1699
37	65	1657
38	65	1618
39	65	1581
40	66	1546
41	66	1512
42	66	1480
43	66	1450
44	66	1420
45	67	1392
46	67	1366
47	67	1340
48	67	1315
49	68	1292
50	68	1269
51	68	1247
52	68	1226
53	68	1206
54	69	1186
55	69	1167
56	69	1150
57	69	1133
58	70	1117
59	70	1101
60	70	1086
61	70	1070
62	70	1055
63	71	1041
64	71	1026
65	71	1012
66	71	999
67	71	986
68	72	974
69	72	962
70	72	950
71	72	939
72	73	927
73	73	917
74	73	906
75	73	895
76	73	885
77	74	875
78	74	866
79	74	856
80	74	847
81	74	838
82	74	827
83	75	819
84	75	811
85	75	803
86	75	795
87	75	787
88	76	779
89	76	772
90	76	765
91	76	757
92	76	750
93	77	743
94	77	737
95	77	730
96	77	724
97	78	718
98	78	711
99	78	705
100	78	699
101	78	693
102	78	687
103	79	682
104	79	676
105	79	671
106	79	665
107	79	660
108	80	655
109	80	650
110	80	645
111	80	640
112	80	635
113	81	630
114	81	625
115	81	621
116	81	616
117	81	611
118	82	607
119	82	603
120	82	599
121	82	594
122	82	590
123	83	586
124	83	582
125	83	578
126	83	574
127	83	570
128	83	566
129	84	562
130	84	559
131	84	556
132	84	552
133	84	549
134	85	545
135	85	542
136	85	538
137	85	535
138	85	532
139	86	529
140	86	526
141	86	522
142	86	519
143	86	516
144	87	513
145	87	510
146	87	508
147	87	505
148	88	503
149	88	501
150	88	499
151	89	496
152	89	494
153	89	491
154	89	488
155	89	486
156	90	483
157	90	481
158	90	478
159	90	476
160	90	473
161	91	470
162	91	468
163	91	465
164	91	463
165	91	461
166	92	458
167	92	456
168	92	454
169	92	452
170	92	450
171	93	447
172	93	445
173	93	443
174	93	441
175	93	439
176	94	437
177	94	435
178	94	433
179	94	431
180	94	429
181	95	427
182	95	425
183	95	423
184	95	421
185	95	419
186	96	417
187	96	415
188	96	413
189	96	412
190	96	410
191	97	408
192	97	406
193	97	404
194	97	403
195	97	401
196	98	399
197	98	398
198	98	396
199	98	395
200	98	393
201	99	391
202	99	390
203	99	388
204	99	386
205	99	385
206	100	383
207	100	382
208	100	380
209	100	379
210	100	377
211	101	375
212	101	374
213	101	372
214	101	371
215	101	369
216	102	368
217	102	366
218	102	365
219	102	363
220	102	362
221	103	361
222	103	359
223	103	358
224	103	356
225	103	355
226	103	354
227	104	352
228	104	351
229	104	350
230	104	348
231	104	347
232	105	346
233	105	344
234	105	343
235	105	342
236	105	340
237	106	339
238	106	338
239	106	337
240	106	335
241	106	334
242	107	333
243	107	332
244	107	331
245	107	329
246	107	328
247	108	327
248	108	326
249	108	325
250	108	324
251	108	323
252	109	321
253	109	320
254	109	319
255	109	318
256	109	317
257	109	316
258	110	315
259	110	313
260	110	312
261	110	311
262	110	310
263	111	309
264	111	308
265	111	307
266	111	306
267	111	305
268	112	304
269	112	303
270	112	302
271	112	301
272	112	300
273	112	299
274	113	298
275	113	297
276	113	296
277	113	295
278	113	294
279	114	293
280	114	292
281	114	291
282	114	290
283	114	289
284	115	288
285	115	287
286	115	286
287	115	285
288	115	284
289	116	284
290	116	283
291	116	282
292	116	281
293	116	280
294	116	279
295	117	278
296	117	277
297	117	276
298	117	275
299	117	275
300	118	274
301	118	273
302	118	272
303	118	271
304	118	270
305	119	269
306	119	269
307	119	268
308	119	267
309	119	266
310	120	266
311	120	265
312	120	264
313	120	263
314	120	262
315	121	262
316	121	261
317	121	260
318	121	259
319	121	259
320	122	258
321	122	257
322	122	256
323	122	256
324	122	255
325	123	254
326	123	253
327	123	253
328	123	252
329	123	251
330	124	250
331	124	250
332	124	249
333	124	248
334	124	247
335	125	247
336	125	246
337	125	245
338	125	245
339	125	244
340	126	243
341	126	242
342	126	242
343	126	241
344	126	240
