iter	Passed	Remaining
0	57	57215
1	57	28700
2	57	19214
3	58	14462
4	58	11605
5	58	9696
6	58	8330
7	58	7314
8	59	6521
9	59	5886
10	59	5367
11	60	4940
12	60	4572
13	60	4259
14	60	3987
15	60	3746
16	61	3536
17	61	3348
18	61	3179
19	62	3048
20	62	2924
21	62	2799
22	63	2685
23	63	2581
24	63	2487
25	64	2398
26	64	2313
27	64	2236
28	64	2164
29	64	2100
30	65	2037
31	65	1978
32	65	1922
33	65	1872
34	66	1825
35	66	1779
36	66	1735
37	66	1692
38	67	1652
39	67	1613
40	67	1578
41	67	1544
42	67	1511
43	68	1479
44	68	1449
45	68	1420
46	68	1392
47	69	1372
48	69	1348
49	69	1325
50	69	1302
51	70	1280
52	70	1259
53	70	1238
54	70	1218
55	71	1199
56	71	1180
57	71	1162
58	71	1144
59	71	1127
60	72	1110
61	72	1094
62	72	1079
63	72	1064
64	73	1050
65	73	1036
66	73	1023
67	73	1011
68	74	998
69	74	987
70	74	974
71	74	962
72	74	950
73	75	939
74	75	928
75	75	918
76	75	909
77	76	899
78	76	890
79	76	880
80	76	871
81	77	862
82	77	852
83	77	844
84	77	837
85	78	829
86	78	821
87	78	813
88	78	808
89	79	801
90	79	795
91	79	789
92	80	782
93	80	775
94	80	768
95	80	762
96	81	755
97	81	750
98	81	745
99	82	738
100	82	732
101	82	725
102	82	719
103	82	713
104	83	708
105	83	702
106	83	697
107	83	692
108	84	686
109	84	681
110	84	676
111	84	671
112	84	666
113	85	661
114	85	657
115	85	654
116	86	649
117	86	644
118	86	640
119	86	636
120	86	631
121	87	626
122	87	627
123	88	627
124	89	624
125	89	620
126	89	615
127	89	611
128	90	607
129	90	603
130	90	599
131	90	595
132	90	591
133	91	588
134	91	584
135	91	580
136	91	577
137	92	574
138	92	572
139	92	568
140	92	565
141	92	561
142	93	558
143	93	555
144	93	552
145	93	549
146	94	546
147	94	542
148	94	539
149	94	537
150	95	535
151	95	533
152	95	530
153	96	528
154	96	526
155	97	525
156	97	523
157	97	520
158	98	518
159	98	515
160	98	512
161	98	510
162	98	507
163	99	505
164	99	504
165	99	502
166	100	499
167	100	496
168	100	494
169	100	491
170	100	488
171	101	486
172	101	484
173	101	482
174	101	479
175	102	477
176	102	475
177	102	473
178	102	470
179	102	468
180	103	466
181	103	464
182	103	462
183	103	460
184	103	458
185	104	455
186	104	453
187	104	451
188	104	449
189	104	447
190	105	445
191	105	443
192	105	441
193	105	439
194	105	437
195	106	435
196	106	433
197	106	431
198	106	429
199	106	427
200	107	426
201	107	424
202	107	422
203	107	420
204	107	418
205	108	417
206	108	415
207	108	414
208	108	412
209	109	410
210	109	409
211	109	407
212	109	406
213	110	404
214	110	402
215	110	401
216	110	399
217	110	397
218	111	396
219	111	394
220	111	393
221	111	392
222	112	391
223	112	389
224	112	388
225	113	387
226	113	385
227	113	383
228	113	382
229	113	380
230	113	379
231	114	377
232	114	376
233	114	375
234	114	373
235	115	372
236	115	371
237	115	369
238	115	368
239	116	367
240	116	366
241	116	364
242	116	363
243	116	362
244	117	361
245	117	359
246	117	358
247	117	357
248	118	356
249	118	354
250	118	353
251	118	352
252	118	351
253	119	350
254	119	348
255	119	347
256	119	346
257	120	345
258	120	343
259	120	342
260	120	341
261	120	340
262	121	339
263	121	338
264	121	337
265	122	336
266	122	335
267	122	334
268	122	333
269	123	332
270	123	331
271	123	330
272	123	329
273	124	328
274	124	327
275	124	326
276	124	325
277	125	324
278	125	323
279	125	322
280	125	321
281	125	320
282	126	319
283	126	318
284	126	317
285	126	316
286	126	315
287	127	314
288	127	313
289	127	312
290	127	311
291	128	310
292	128	309
293	128	308
294	128	307
295	128	306
296	129	305
297	129	304
298	129	303
299	129	303
300	130	302
301	130	301
302	130	300
303	130	299
304	130	298
305	131	297
306	131	296
307	131	295
308	131	294
309	131	293
310	132	292
311	132	291
312	132	291
313	132	290
314	133	289
315	133	288
316	133	287
317	133	287
318	134	286
319	134	285
320	134	284
321	134	283
322	135	283
323	135	282
324	135	281
325	135	280
326	135	279
327	136	279
328	136	278
329	136	277
330	137	277
331	137	276
332	137	275
333	137	274
334	137	273
335	138	273
336	138	272
337	138	271
338	138	270
339	138	269
340	139	268
341	139	268
342	139	267
343	139	266
344	140	265
345	140	265
346	140	264
347	140	263
348	140	262
349	141	262
350	141	261
351	141	260
352	141	260
353	142	259
354	142	258
355	142	257
356	142	257
357	142	256
358	143	255
359	143	254
360	143	254
361	143	253
362	144	252
363	144	252
364	144	251
365	144	250
366	145	250
367	145	249
368	145	248
369	145	248
370	145	247
371	146	246
372	146	245
373	146	245
374	146	244
375	146	243
376	147	243
377	147	242
378	147	241
379	147	241
380	148	240
381	148	239
382	148	239
383	148	238
384	148	237
385	149	237
386	149	236
387	149	235
388	149	235
389	149	234
390	150	233
391	150	233
392	150	232
393	150	231
394	150	231
395	151	230
396	151	230
397	151	229
398	151	228
399	152	228
400	152	227
401	152	226
402	152	226
403	152	225
404	153	224
405	153	224
406	153	223
407	153	223
408	154	222
409	154	222
410	154	221
411	155	221
412	155	220
413	155	219
414	155	219
415	155	218
416	156	218
417	156	217
418	156	217
419	156	216
420	156	215
421	157	215
422	157	214
423	157	214
424	157	213
425	158	212
426	158	212
427	158	211
428	158	211
429	158	210
430	159	210
431	159	209
432	159	208
433	159	208
434	159	207
435	160	207
436	160	206
437	160	206
438	160	205
439	160	204
440	161	204
441	161	203
442	161	203
443	162	202
444	162	202
445	162	201
446	162	201
447	162	200
448	163	200
449	163	199
450	163	199
451	163	198
452	164	198
453	164	197
454	164	196
455	164	196
456	164	195
457	165	195
458	165	194
459	165	194
460	165	193
461	165	193
462	166	192
463	166	192
464	166	191
465	166	191
466	167	190
467	167	190
468	167	189
469	167	189
470	167	188
471	168	188
472	168	187
473	168	187
474	168	186
475	168	186
476	169	185
477	169	184
478	169	184
479	169	183
480	170	183
481	170	182
482	170	182
483	170	182
484	171	181
485	171	181
486	171	180
487	171	180
488	172	179
489	172	179
490	172	178
491	172	178
492	172	177
493	173	177
494	173	177
495	173	176
496	174	176
497	174	176
498	175	175
499	175	175
500	175	174
501	175	174
502	175	173
503	176	173
504	176	172
505	176	172
506	176	171
507	176	171
508	177	170
509	177	170
510	177	169
511	177	169
512	178	169
513	178	168
514	178	168
515	178	167
516	179	167
517	179	166
518	179	166
519	179	165
520	179	165
521	180	164
522	180	164
523	180	163
524	180	163
525	180	163
526	181	162
527	181	162
528	181	162
529	182	161
530	182	161
531	182	160
532	182	160
533	183	159
534	183	159
535	183	158
536	183	158
537	183	157
538	184	157
539	184	157
540	185	157
541	185	156
542	186	156
543	186	156
544	186	155
545	186	155
546	186	154
547	187	154
548	187	154
549	187	153
550	188	153
551	188	152
552	188	152
553	188	152
554	189	151
555	189	151
556	189	150
557	189	150
558	190	149
559	190	149
560	190	149
561	190	148
562	190	148
563	191	147
564	191	147
565	191	146
566	192	146
567	192	146
568	192	145
569	192	145
570	192	144
571	193	144
572	193	144
573	193	143
574	193	143
575	194	142
576	194	142
577	194	142
578	195	141
579	195	141
580	195	141
581	196	140
582	196	140
583	196	140
584	197	139
585	197	139
586	197	139
587	198	138
588	198	138
589	198	138
590	199	137
591	199	137
592	199	137
593	199	136
594	200	136
595	200	135
596	200	135
597	200	135
598	201	134
599	201	134
600	201	133
601	201	133
602	202	133
603	202	132
604	202	132
605	202	131
606	203	131
607	203	131
608	203	130
609	203	130
610	204	130
611	204	129
612	204	129
613	204	128
614	205	128
615	205	128
616	205	127
617	206	127
618	206	127
619	206	126
620	207	126
621	207	126
622	207	125
623	207	125
624	208	124
625	208	124
626	208	124
627	209	123
628	209	123
629	209	123
630	210	122
631	210	122
632	210	122
633	210	121
634	211	121
635	211	121
636	211	120
637	212	120
638	212	120
639	212	119
640	213	119
641	213	119
642	213	118
643	214	118
644	214	117
645	214	117
646	215	117
647	215	116
648	215	116
649	215	116
650	215	115
651	216	115
652	216	114
653	216	114
654	216	114
655	217	113
656	217	113
657	217	113
658	217	112
659	218	112
660	218	111
661	218	111
662	218	111
663	219	110
664	219	110
665	219	110
666	219	109
667	220	109
668	220	109
669	220	108
670	220	108
671	221	107
672	221	107
673	221	107
674	221	106
675	222	106
676	222	106
677	222	105
678	222	105
679	223	105
680	223	104
681	223	104
682	224	104
683	224	103
684	224	103
685	225	102
686	225	102
687	225	102
688	226	102
689	226	101
690	226	101
691	227	101
692	227	100
693	227	100
694	227	99
695	228	99
696	228	99
697	228	98
698	228	98
699	228	98
700	229	97
701	229	97
702	229	97
703	230	96
704	230	96
705	230	96
706	230	95
707	231	95
708	231	94
709	231	94
710	231	94
711	232	93
712	232	93
713	232	93
714	232	92
715	233	92
716	233	92
717	233	91
718	233	91
719	233	90
720	234	90
721	234	90
722	234	89
723	234	89
724	235	89
725	235	88
726	235	88
727	236	88
728	236	87
729	236	87
730	237	87
731	237	86
732	237	86
733	237	86
734	238	85
735	238	85
736	238	85
737	238	84
738	239	84
739	239	84
740	239	83
741	240	83
742	240	83
743	240	82
744	240	82
745	241	82
746	241	81
747	241	81
748	242	81
749	242	80
750	242	80
751	242	80
752	243	79
753	243	79
754	243	79
755	243	78
756	244	78
757	245	78
758	245	77
759	245	77
760	246	77
761	246	76
762	246	76
763	246	76
764	247	75
765	247	75
766	247	75
767	248	74
768	248	74
769	248	74
770	248	73
771	249	73
772	249	73
773	250	73
774	250	72
775	251	72
776	251	72
777	251	71
778	252	71
779	252	71
780	252	70
781	252	70
782	253	70
783	253	69
784	253	69
785	254	69
786	254	68
787	254	68
788	255	68
789	255	67
790	255	67
791	256	67
792	256	66
793	256	66
794	257	66
795	257	66
796	258	65
797	258	65
798	258	65
799	259	64
800	259	64
801	259	64
802	259	63
803	260	63
804	260	63
805	261	62
806	261	62
807	262	62
808	262	62
809	263	61
810	263	61
811	263	61
812	264	60
813	264	60
814	265	60
815	265	59
816	266	59
817	266	59
818	266	58
819	267	58
820	267	58
821	267	57
822	267	57
823	268	57
824	268	56
825	268	56
826	269	56
827	269	55
828	269	55
829	269	55
830	269	54
831	270	54
832	270	54
833	270	53
834	270	53
835	271	53
836	271	52
837	271	52
838	271	52
839	272	51
840	272	51
841	272	51
842	272	50
843	273	50
844	273	50
845	273	49
846	274	49
847	274	49
848	274	48
849	274	48
850	275	48
851	275	47
852	275	47
853	276	47
854	276	46
855	276	46
856	276	46
857	276	45
858	277	45
859	277	45
860	278	44
861	278	44
862	278	44
863	278	43
864	279	43
865	279	43
866	279	42
867	280	42
868	280	42
869	280	41
870	281	41
871	281	41
872	281	40
873	281	40
874	282	40
875	282	39
876	282	39
877	282	39
878	283	38
879	283	38
880	283	38
881	283	37
882	284	37
883	284	37
884	284	37
885	285	36
886	285	36
887	285	36
888	286	35
889	286	35
890	286	35
891	286	34
892	287	34
893	287	34
894	288	33
895	288	33
896	288	33
897	289	32
898	289	32
899	289	32
900	290	31
901	290	31
902	290	31
903	290	30
